WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
HOXA9	"BRD-K95196255,0.97325"	"BRD-K60870698,0.97278"	"BRD-K73610817,0.96113"	"BRD-K77547920,0.95276"	"BRD-A47816767,0.94193"	"BRD-K55116708,0.93531"	"BRD-K21064560,0.9335"	"rhodomyrtoxin-b,0.92711"	"manumycin-a,0.92278"	"phorbol-12-myristate-13-acetate,0.92218"	"cucurbitacin-i,0.91459"	"TW-37,0.91408"	"cyclosporin-a,0.91112"	"NNC-55-0396,0.9045"	"BRD-K05153001,0.90299"	"pyrvinium-pamoate,0.89968"	"PD-198306,0.89879"	"valdecoxib,0.8963"	"FCCP,0.89195"	"BX-795,0.89159"
KLF3	"KU-0060648,0.89707"	"trichostatin-a,0.87797"	"chaetocin,0.85448"	"BI-2536,0.84946"	"HC-toxin,0.82934"	"triptolide,0.82212"	"JWE-035,0.80585"	"PIK-75,0.80467"	"fludarabine,0.8046"	"THM-I-94,0.79911"	"GP-42,0.79222"	"MD-II-038,0.79041"	"narciclasine,0.77274"	"panobinostat,0.7693"	"piperlongumine,0.76904"	"BRD-K84203638,0.74977"	"anisomycin,0.74746"	"calyculin,0.74643"	"lestaurtinib,0.73939"	"oxetane,0.73708"
PACSIN3	"PP-110,0.77223"	"clomifene,0.73649"	"LFM-A13,0.73595"	"MK-2206,0.73567"	"olaparib,0.70766"	"KU-0063794,0.70376"	"gossypol,0.68367"	"BRD-K01737880,0.67771"	"pindolol,0.66418"	"OSI-027,0.66403"	"R-96544,0.6624"	"BMS-754807,0.657"	"PP-1,0.65067"	"linsitinib,0.64304"	"RS-23597-190,0.62326"	"proadifen,0.62166"	"SA-792728,0.62155"	"YM-155,0.62076"	"tamoxifen,0.61954"	"AZD-8055,0.60607"
PRKCZ	"BRD-K55116708,0.83799"	"7b-cis,0.82133"	"kinetin-riboside,0.79155"	"triciribine,0.7463"	"YM-155,0.74526"	"purmorphamine,0.72256"	"phorbol-12-myristate-13-acetate,0.7009"	"iodophenpropit,0.69971"	"AG-879,0.68887"	"ruxolitinib,0.68573"	"BMS-754807,0.68198"	"testosterone,0.68038"	"bisacodyl,0.67841"	"apicidin,0.6765"	"prostratin,0.67621"	"BRD-K92317137,0.67446"	"tretinoin,0.67305"	"XAV-939,0.66972"	"QS-11,0.66926"	"nocodazole,0.66728"
RNF25	"puromycin,0.83989"	"penfluridol,0.79809"	"amsacrine,0.79773"	"SID-26681509,0.79515"	"erbstatin-analog,0.77721"	"MG-132,0.77167"	"AG-957,0.74651"	"apigenin,0.73165"	"cucurbitacin-i,0.73103"	"BRD-K16410418,0.72942"	"NSC-663284,0.71396"	"phorbol-12-myristate-13-acetate,0.70752"	"vinorelbine,0.70481"	"paclitaxel,0.70425"	"antimycin-a,0.70301"	"BRD-K71935468,0.69729"	"BRD-K19166598,0.69198"	"BRD-K98404142,0.68755"	"neratinib,0.68002"	"brazilin,0.67685"
TNFRSF1A	"prostratin,0.99296"	"ingenol,0.98561"	"phorbol-12-myristate-13-acetate,0.98229"	"BRD-K80786583,0.96905"	"puromycin,0.95854"	"I-606051,0.94099"	"CD-437,0.93622"	"penfluridol,0.92851"	"puromycin,0.92831"	"BRD-K19166598,0.92769"	"salermide,0.92362"	"BRD-K71935468,0.92322"	"BO2-inhibits-RAD51,0.92188"	"tosedostat,0.92106"	"YM-155,0.919"	"cucurbitacin-i,0.9157"	"rhodomyrtoxin-b,0.91451"	"methylene-blue,0.91109"	"obatoclax,0.9091"	"cucurbitacin-i,0.90369"
TRAP1	"CCCP,0.94997"	"AG-592,0.94229"	"CGK-733,0.94139"	"FCCP,0.93435"	"COL-3,0.93231"	"bithionol,0.93174"	"tigecycline,0.924"	"BRD-K86574132,0.91548"	"BRD-A18411371,0.91317"	"cucurbitacin-i,0.91041"	"quiflapon,0.9095"	"DG-041,0.90685"	"staurosporine,0.90684"	"artesunate,0.90148"	"SID-26681509,0.88837"	"IKK-2-inhibitor-V,0.88663"	"BRD-K32896438,0.88472"	"BRD-K42499654,0.88147"	"CGP-57380,0.87775"	"AG-879,0.87252"
VN1R5	"BRD-K35716340,0.84544"	"atomoxetine,0.82641"	"PF-04217903,0.76951"	"BRD-K84924563,0.75846"	"BRD-K83620635,0.75684"	"BRD-K05649647,0.73908"	"dephostatin,0.73807"	"brefeldin-a,0.71599"	"tretinoin,0.71587"	"pifithrin-mu,0.70527"	"VER-155008,0.70373"	"16,16-dimethylprostaglandin-e2,0.69279"	"IKK-inhibitor-X,0.6916"	"PD-102807,0.68567"	"L-690330,0.66868"	"ropinirole,0.66755"	"amodiaquine,0.66399"	"BRD-K98948170,0.65614"	"BRD-K19876534,0.65302"	"BRD-K93367411,0.64708"
GPR37	"prostaglandin-a1,0.8669"	"NVP-AUY922,0.80069"	"AS-605240,0.74617"	"selumetinib,0.73091"	"PP-1,0.72348"	"PD-198306,0.72051"	"BRD-K55533488,0.70178"	"PI-103,0.6868"	"SA-792728,0.67886"	"PD-184352,0.67545"	"geldanamycin,0.67237"	"BRD-K90999434,0.66643"	"linsitinib,0.66074"	"saracatinib,0.65637"	"TG-101348,0.64232"	"RS-23597-190,0.64159"	"doxorubicin,0.63886"	"wortmannin,0.62928"	"tamoxifen,0.62583"	"wortmannin,0.62496"
RNF145	"GSK-0660,0.84935"	"profenamine,0.80257"	"BRD-K59488055,0.79242"	"BRD-K68007270,0.77904"	"BRD-K90826279,0.76713"	"thiothixene,0.76141"	"GDC-0941,0.76034"	"BRD-K23841751,0.75869"	"HG-5-113-01,0.75744"	"LY-294002,0.75715"	"PI-103,0.7484"	"KM-00799,0.74808"	"PIK-90,0.74291"	"pyroxamide,0.7363"	"sirolimus,0.7362"	"BMS-754807,0.70886"	"BRD-K15640888,0.70791"	"NSC-23766,0.70249"	"amonafide,0.69842"	"BRD-K81441552,0.69815"
ZNF133	"clopidogrel,0.89168"	"decitabine,0.87603"	"BRD-K35716340,0.87166"	"pepstatin,0.86737"	"BRD-K67778494,0.86479"	"BRD-K40758391,0.86148"	"PF-04217903,0.85043"	"fludrocortisone,0.84025"	"BRD-K13277629,0.83945"	"SA-792574,0.83565"	"ON-01910,0.82139"	"RG-108,0.81361"	"BRD-K89224880,0.81217"	"rimcazole,0.80555"	"clobenpropit,0.80536"	"hydrocortisone,0.80532"	"HLI-373,0.79897"	"STK-064652,0.7952"	"KU-C104140,0.79065"	"pitavastatin,0.7898"
ASNA1	"dephostatin,0.91945"	"BRD-K45205755,0.88853"	"BRD-K66037923,0.86176"	"lasalocid,0.84105"	"BRD-K84881516,0.83066"	"prostratin,0.82984"	"10-DEBC,0.82009"	"triacsin-c,0.8162"	"wortmannin,0.8092"	"cytochalasin-b,0.7998"	"YM-298198,0.79024"	"BRD-K88707333,0.7864"	"BMS-754807,0.78049"	"CA-074-Me,0.77899"	"BRD-K03122949,0.7741"	"cerulenin,0.77376"	"DL-PDMP,0.77089"	"R-96544,0.76846"	"BRD-K42687792,0.76783"	"BRD-A49848186,0.76442"
BCL6B	"BRD-K77480336,0.81429"	"evodiamine,0.79995"	"ouabain,0.7393"	"olaparib,0.73797"	"penfluridol,0.73339"	"EMF-sumo1-11,0.7303"	"digoxin,0.71932"	"cytochalasin-b,0.70877"	"brefeldin-a,0.70533"	"BRD-K55844427,0.68981"	"15-delta-prostaglandin-j2,0.68193"	"ispinesib,0.68143"	"sulforaphane,0.67213"	"manumycin-a,0.67083"	"BRD-K45205755,0.6668"	"cycloheximide,0.66011"	"niguldipine,0.65342"	"ouabain,0.65239"	"GW-405833,0.64797"	"parthenolide,0.64581"
CCDC92	"oxetane,0.97574"	"avicin-g,0.93998"	"BRD-A18725729,0.92797"	"BRD-K26304855,0.923"	"BRD-K79222491,0.88263"	"COL-3,0.87979"	"BRD-U86222656,0.87807"	"BRD-K83670234,0.87662"	"fludarabine,0.85742"	"perhexiline,0.83641"	"tigecycline,0.8295"	"BRD-K78062244,0.82921"	"KUC111774N,0.82774"	"dactinomycin,0.82542"	"SU-11652,0.81832"	"BRD-K62459624,0.81643"	"K784-3188,0.81059"	"camptothecin,0.80343"	"BRD-A37735495,0.80301"	"clopidogrel,0.80179"
CDKN2C	"7b-cis,0.98222"	"palbociclib,0.98018"	"BRD-K73008154,0.97798"	"phorbol-12-myristate-13-acetate,0.97797"	"BMS-754807,0.97497"	"wortmannin,0.97299"	"BX-795,0.96881"	"BRD-K68548958,0.96257"	"idarubicin,0.95956"	"BRD-K30351863,0.95412"	"wortmannin,0.95002"	"SU-11274,0.94952"	"rhodomyrtoxin-b,0.93706"	"triciribine,0.92832"	"NVP-BEZ235,0.92584"	"DL-PDMP,0.92522"	"VU-0418946-1,0.92427"	"ingenol,0.92387"	"VU-0410183-2,0.92257"	"AZD-8055,0.92158"
CREB1	"serdemetan,0.84452"	"NVP-BEZ235,0.78806"	"SB-203580,0.75747"	"sulforaphane,0.72235"	"RLM-2-12,0.71065"	"LFM-A13,0.69247"	"KUC111774N,0.69"	"BRD-K16956545,0.68311"	"rottlerin,0.67485"	"BRD-K57238941,0.6729"	"erastin,0.67047"	"etomoxir,0.66961"	"MST-312,0.66684"	"BRD-K24346336,0.65196"	"linsitinib,0.65017"	"BRD-K10436544,0.64932"	"entinostat,0.64351"	"BRD-K78385490,0.63997"	"AG-879,0.63523"	"KU-0063794,0.63218"
DNAJA3	"tosedostat,0.95262"	"BRD-K73261812,0.92594"	"tigecycline,0.92318"	"COL-3,0.91584"	"BRD-K77547920,0.91427"	"BRD-K92317137,0.90189"	"PK-11195,0.89614"	"BRD-K78385490,0.88434"	"cucurbitacin-i,0.88082"	"manumycin-a,0.87608"	"cerulenin,0.8673"	"quiflapon,0.85902"	"BRD-A36275421,0.85814"	"puromycin,0.85515"	"CD-437,0.85213"	"quinoclamine,0.84164"	"KUC111774N,0.83195"	"GW-405833,0.82625"	"penfluridol,0.82341"	"BRD-K27169919,0.81853"
DYRK3	"BRD-K84881516,0.89936"	"blebbistatin,0.80298"	"carbamazepine,0.78246"	"U-0126,0.77965"	"altrenogest,0.73135"	"L-690488,0.72907"	"cytosporone-b,0.72853"	"pindolol,0.72755"	"BRD-K70524666,0.7255"	"physostigmine,0.72389"	"protriptyline,0.72157"	"RG-108,0.72018"	"epigallocatechin,0.7159"	"BRD-K94991378,0.71274"	"dexamethasone,0.69391"	"digoxin,0.69255"	"fumonisin-b1,0.66902"	"BRD-K75081836,0.6686"	"BRD-K82524003,0.66746"	"GW-843682X,0.66495"
ERG	"BRD-A37735495,0.98272"	"oxetane,0.98241"	"avicin-g,0.9723"	"avicin-d,0.96497"	"K784-3188,0.95795"	"camptothecin,0.95719"	"BRD-A68065211,0.95698"	"BRD-A18725729,0.94712"	"SU-11652,0.93113"	"5-iodotubercidin,0.9271"	"KUC111774N,0.92619"	"aminopurvalanol-a,0.9225"	"BRD-K29003210,0.91965"	"BRD-K78385490,0.91933"	"BRD-U86222656,0.91869"	"dactinomycin,0.91803"	"staurosporine,0.91801"	"fludarabine,0.91525"	"BRD-K62459624,0.91476"	"piperlongumine,0.91327"
ESR1	"MD-II-008-P,0.93589"	"mibefradil,0.91672"	"BRD-K92317137,0.91353"	"BRD-K60870698,0.91348"	"mevastatin,0.89768"	"trichostatin-a,0.89462"	"NSC-3852,0.89461"	"piperlongumine,0.8871"	"bortezomib,0.8813"	"BRD-K78385490,0.87936"	"BRD-K21064560,0.87491"	"BRD-A43155244,0.87224"	"THM-I-94,0.8671"	"brefeldin-a,0.86457"	"sirolimus,0.85929"	"vorinostat,0.85811"	"BRD-K03829970,0.85481"	"wiskostatin,0.85377"	"VU-0410183-2,0.85355"	"scriptaid,0.85275"
FADD	"BRD-K55844427,0.97904"	"LDN-193189,0.97302"	"YM-155,0.97071"	"AKT-inhibitor-IV,0.97032"	"oxetane,0.96352"	"calyculin,0.95946"	"BRD-K77547920,0.95878"	"avicin-g,0.9531"	"BRD-A37735495,0.95092"	"BRD-U86222656,0.95044"	"BRD-A68065211,0.94764"	"cercosporin,0.94522"	"salermide,0.94472"	"K784-3188,0.94299"	"KUC111774N,0.94279"	"BRD-K62459624,0.94178"	"BRD-K19499941,0.94138"	"ST-4029573,0.94111"	"ingenol,0.94075"	"BRD-A09719808,0.93966"
FBXL12	"oxetane,0.99118"	"avicin-g,0.98127"	"dactinomycin,0.93886"	"5-iodotubercidin,0.93603"	"mitoxantrone,0.9327"	"JNJ-7706621,0.93011"	"camptothecin,0.92432"	"AZD-7762,0.92144"	"CGP-60474,0.92081"	"staurosporine,0.91909"	"BRD-K81814927,0.9174"	"clopidogrel,0.91735"	"fludarabine,0.91677"	"nefazodone,0.91175"	"alvocidib,0.91005"	"SU-11652,0.90888"	"OBAA,0.90379"	"staurosporine,0.9037"	"avicin-d,0.90238"	"KUC111774N,0.90122"
GPR146	"nialamide,0.93675"	"BRD-K64304398,0.92022"	"brefeldin-a,0.90232"	"rimcazole,0.9012"	"SU-11652,0.89371"	"RG-108,0.88976"	"AR-A014418,0.88695"	"remacemide,0.88043"	"AG-370,0.87321"	"CHEMBL-399379,0.8728"	"UB-165,0.87232"	"BRD-K68548958,0.87139"	"OBAA,0.87043"	"nafadotride,0.86369"	"prednisolone,0.8628"	"RS-504393,0.8607"	"R-96544,0.85965"	"GW-441756,0.85947"	"dephostatin,0.85915"	"verapamil,0.85731"
GPR152	"erastin,0.92652"	"CGK-733,0.90029"	"bithionol,0.8601"	"alvespimycin,0.84669"	"rottlerin,0.83835"	"TPCA-1,0.82475"	"RO-28-1675,0.81327"	"geldanamycin,0.78896"	"puromycin,0.78871"	"curcumin,0.78672"	"sirolimus,0.78185"	"tosedostat,0.77616"	"niclosamide,0.77586"	"SA-792728,0.77407"	"MLN-2238,0.75526"	"MG-132,0.75278"	"terfenadine,0.75226"	"kinetin-riboside,0.75103"	"brazilin,0.75079"	"BO2-inhibits-RAD51,0.74505"
HOXC10	"QS-11,0.92583"	"BRD-K19724398,0.91121"	"tosyl-phenylalanyl-chloromethyl-ketone,0.8735"	"trichostatin-a,0.86349"	"BRD-K18726304,0.86309"	"CHEMBL-1222381,0.85766"	"dacinostat,0.85212"	"THM-I-94,0.84891"	"merck-ketone,0.84323"	"APHA-compound-8,0.83638"	"HC-toxin,0.83581"	"trichostatin-a,0.82936"	"BRD-K60067222,0.82841"	"methylene-blue,0.81585"	"BX-795,0.81113"	"givinostat,0.80779"	"irinotecan,0.80562"	"digoxin,0.80307"	"belinostat,0.80276"	"sorafenib,0.80002"
IL10	"lasalocid,0.88512"	"brefeldin-a,0.87994"	"purmorphamine,0.8429"	"CCCP,0.83765"	"NVP-AUY922,0.82094"	"orantinib,0.81948"	"sorafenib,0.81877"	"puromycin,0.79805"	"BRD-K44417704,0.78002"	"thiotepa,0.77044"	"BRD-K55844427,0.76152"	"GW-405833,0.7609"	"vinblastine,0.75928"	"NSC-632839,0.75632"	"RO-28-1675,0.75185"	"brefeldin-a,0.73888"	"fluoropyruvate,0.72609"	"VU-0418934-2,0.71395"	"BRD-K45205755,0.71218"	"cyclopiazonic-acid,0.70871"
ISG20	"triciribine,0.93349"	"pemetrexed,0.89783"	"prostaglandin-a1,0.87445"	"BRD-K19117583,0.87319"	"BRD-K50776152,0.85292"	"isoflupredone,0.84261"	"ZD-7114,0.83762"	"BMS-641988,0.83735"	"moxonidine,0.8249"	"3-amino-benzamide,0.81406"	"fluorometholone,0.81126"	"HTMT,0.80349"	"BRD-K61053657,0.80181"	"HSP90-inhibitor,0.79306"	"avicin-g,0.79162"	"KIN001-127,0.78486"	"BRD-K01621458,0.77814"	"BRD-K21614065,0.77807"	"testosterone,0.778"	"triamcinolone,0.77705"
KCNK1	"PP-110,0.79901"	"sirolimus,0.79553"	"profenamine,0.7907"	"BRD-K71142328,0.7722"	"ERK-inhibitor-11E,0.74882"	"BRD-K07061353,0.74248"	"loperamide,0.73926"	"palbociclib,0.72306"	"wortmannin,0.71664"	"purmorphamine,0.71498"	"BRD-K29715937,0.70617"	"EO-1428,0.69491"	"tamoxifen,0.69463"	"genistein,0.69046"	"chlortalidone,0.68958"	"BMS-641988,0.6834"	"prednisolone,0.67465"	"budesonide,0.67426"	"FTase-inhibitor-B581,0.66702"	"WH-4023,0.6664"
KNG1	"BRD-K35716340,0.99317"	"BRD-K67778494,0.97325"	"benzylpenicillin,0.97097"	"minoxidil,0.96935"	"BRD-K68548958,0.96404"	"clopidogrel,0.96212"	"BMS-299897,0.95914"	"BRD-K21064560,0.95912"	"PF-04217903,0.95357"	"remacemide,0.94438"	"pregnenolone,0.9415"	"dephostatin,0.94105"	"lylamine,0.9363"	"genipin,0.93326"	"RG-108,0.93288"	"BRD-K41087962,0.93268"	"BRD-K68007270,0.92667"	"lovastatin,0.92169"	"gemcitabine,0.9174"	"bortezomib,0.91621"
LCMT1	"BRD-A68065211,0.90839"	"K784-3188,0.90829"	"BRD-A37735495,0.88967"	"BRD-K78062244,0.88958"	"BI-78D3,0.8839"	"COL-3,0.86428"	"selamectin,0.86142"	"auranofin,0.84861"	"BRD-A18411371,0.83744"	"SID-26681509,0.83038"	"BRD-K19499941,0.82364"	"BRD-K62459624,0.81876"	"BRD-A36275421,0.80801"	"manumycin-a,0.80009"	"pifithrin-mu,0.79359"	"KUC111774N,0.79226"	"BRD-K98824517,0.79123"	"BRD-A18725729,0.77881"	"BRD-K56411643,0.77523"	"BRD-A58924247,0.76578"
LTBR	"prostratin,0.98809"	"CD-437,0.9854"	"selamectin,0.98531"	"phorbol-12-myristate-13-acetate,0.98394"	"oxetane,0.98334"	"ingenol,0.98305"	"COT-10b,0.9825"	"K784-3188,0.9759"	"BRD-K80786583,0.97529"	"LDN-193189,0.97466"	"perhexiline,0.97351"	"CD-1530,0.97302"	"IKK-2-inhibitor-V,0.97265"	"JW-7-24-1,0.9726"	"calmidazolium,0.97223"	"tosedostat,0.97213"	"SCH-79797,0.97182"	"BX-795,0.96995"	"niclosamide,0.96704"	"penfluridol,0.96666"
MAP2K6	"BRD-K80786583,0.98436"	"BRD-K73008154,0.98272"	"BRD-K19624190,0.98172"	"BRD-K19166598,0.97984"	"CD-437,0.97836"	"CGP-71683,0.97808"	"phorbol-12-myristate-13-acetate,0.97595"	"JW-7-24-1,0.97322"	"penfluridol,0.97131"	"prostratin,0.97113"	"NNC-55-0396,0.96691"	"BRD-A18411371,0.96667"	"BRD-K28366633,0.96544"	"BRD-K18163752,0.96523"	"K784-3188,0.96015"	"SA-1478088,0.95817"	"BRD-K71935468,0.95699"	"MD-049,0.95596"	"tetrindole,0.95475"	"BRD-K62459624,0.95227"
MRGPRF	"fostamatinib,0.93322"	"PP-1,0.92611"	"BRD-K45205755,0.92083"	"BMS-536924,0.91179"	"BX-795,0.89417"	"BRD-K18861610,0.87186"	"valdecoxib,0.8582"	"PI-103,0.85521"	"ENMD-2076,0.84708"	"BMS-754807,0.84572"	"PP-110,0.8456"	"BRD-K90999434,0.83242"	"wortmannin,0.82662"	"atorvastatin,0.82622"	"hinokitiol,0.82209"	"neratinib,0.82077"	"PP-2,0.8145"	"BRD-A58924247,0.8127"	"PI-828,0.80585"	"U0126,0.80525"
NDUFS7	"IKK-2-inhibitor-V,0.95504"	"quiflapon,0.94664"	"niclosamide,0.93563"	"BRD-K30381304,0.92664"	"thiazolopyrimidine,0.9243"	"rottlerin,0.91987"	"DG-041,0.91743"	"FCCP,0.91632"	"KUC111774N,0.90362"	"AG-879,0.90038"	"tigecycline,0.90024"	"tosedostat,0.89249"	"CGK-733,0.89229"	"methylene-blue,0.89215"	"selamectin,0.88249"	"COL-3,0.88138"	"bithionol,0.87509"	"KO-143,0.87479"	"perhexiline,0.86595"	"mibefradil,0.86072"
NR5A2	"pitavastatin,0.84744"	"ERK-inhibitor-11E,0.77647"	"AM-281,0.76488"	"ranitidine,0.74712"	"MK-2206,0.73161"	"budesonide,0.71798"	"crizotinib,0.70828"	"elesclomol,0.7049"	"EMF-BCA1-64,0.69783"	"BO2-inhibits-RAD51,0.67583"	"gabexate,0.66024"	"graveoline,0.65742"	"BRD-K75081836,0.65629"	"AS-605240,0.65452"	"trimipramine,0.65436"	"atorvastatin,0.64479"	"CHEMBL-1222381,0.64277"	"fluspirilene,0.64232"	"toremifene,0.63774"	"prednisolone,0.63468"
PCGF3	"resveratrol,0.88085"	"BRD-K14788918,0.87755"	"cladribine,0.86902"	"VU-0418939-2,0.86785"	"manumycin-a,0.85826"	"tretinoin,0.8482"	"amsacrine,0.83633"	"BRD-K82580504,0.83423"	"teniposide,0.83352"	"BRD-K72451865,0.83017"	"manumycin-a,0.8291"	"VU-0410183-2,0.82766"	"CHEMBL-1222381,0.81801"	"VU-0418947-2,0.80787"	"vincristine,0.79692"	"sulforaphane,0.79531"	"VU-0418934-2,0.79383"	"mitotane,0.78976"	"BRD-K20492338,0.7864"	"vinblastine,0.78636"
PPARG	"BRD-K83670234,0.87899"	"KUC111774N,0.80907"	"forskolin,0.76415"	"MW-A1-12,0.72948"	"RJC-00245SC,0.71845"	"resveratrol,0.71129"	"oxetane,0.68979"	"COL-3,0.67936"	"BRD-K92317137,0.67235"	"mitomycin-c,0.6627"	"BML-259,0.65683"	"ryuvidine,0.65039"	"M-3M3FBS,0.63853"	"BRD-A81530502,0.63533"	"tigecycline,0.63047"	"biperiden,0.62163"	"BRD-K14027855,0.62023"	"BRD-A32449311,0.61653"	"triptolide,0.61299"	"indirubin,0.61209"
PRDX5	"BRD-K35716340,0.96854"	"BRD-K84924563,0.91699"	"benzylpenicillin,0.89964"	"PF-04217903,0.87878"	"tretinoin,0.83579"	"danusertib,0.79746"	"loperamide,0.7929"	"gemcitabine,0.78768"	"Ro-04-6790,0.77409"	"bortezomib,0.77159"	"PJ-34,0.757"	"BRD-K85266146,0.75323"	"lovastatin,0.73504"	"SID-26681509,0.73356"	"KO-143,0.7173"	"pifithrin-alpha,0.7152"	"indirubin,0.70634"	"tenofovir,0.70624"	"sulpiride,0.70402"	"oxetane,0.69616"
PYCR1	"alvocidib,0.89139"	"PHA-793887,0.88696"	"dactinomycin,0.88686"	"pirarubicin,0.8566"	"daunorubicin,0.84867"	"CP466722,0.8376"	"manumycin-a,0.81448"	"amsacrine,0.81316"	"CGP-60474,0.80418"	"pidorubicine,0.79768"	"BRD-K81814927,0.7941"	"SID-26681509,0.79307"	"selamectin,0.7883"	"sirolimus,0.78073"	"COT-10b,0.77912"	"pyrvinium-pamoate,0.77469"	"SN-38,0.76602"	"camptothecin,0.76482"	"doxorubicin,0.75876"	"niclosamide,0.75726"
RPN1	"oxetane,0.95859"	"lovastatin,0.95076"	"BRD-K67778494,0.93286"	"pentobarbital,0.93266"	"atomoxetine,0.93179"	"RS-39604,0.93012"	"diclofenac,0.9295"	"BRD-K35716340,0.92676"	"pitavastatin,0.92077"	"PF-04217903,0.92075"	"cefixime,0.91809"	"staurosporine,0.91253"	"dephostatin,0.91075"	"LY-16350,0.90911"	"avicin-g,0.90539"	"amodiaquine,0.90071"	"clopidogrel,0.89617"	"remacemide,0.89467"	"dipropyl-dopamine,0.89078"	"benzylpenicillin,0.88343"
SALL4	"FTase-inhibitor-B581,0.88571"	"testosterone,0.87556"	"diclofenac,0.84975"	"flutamide,0.8365"	"BRD-A61825514,0.80761"	"BMS-641988,0.80704"	"ABT-737,0.78215"	"toltrazuril,0.77582"	"BRD-K63425657,0.75667"	"linsitinib,0.75478"	"IKK-inhibitor-X,0.74687"	"progesterone,0.74575"	"VU-0413807-2,0.74377"	"orantinib,0.74294"	"XAV-939,0.7367"	"BRD-A57300602,0.73654"	"BRD-K51556300,0.73605"	"EO-1428,0.73205"	"rilmenidine,0.72424"	"BRD-K18711687,0.72385"
SLC2A6	"AKT-inhibitor-1-2,0.88712"	"oxetane,0.88647"	"clopidogrel,0.87414"	"pitavastatin,0.87261"	"fluspirilene,0.86871"	"AKT-inhibitor-IV,0.83351"	"KUC111774N,0.7966"	"avicin-g,0.7936"	"NVP-TAE684,0.79348"	"HTMT,0.77714"	"aminopurvalanol-a,0.77623"	"hydrocortisone,0.77562"	"staurosporine,0.77279"	"dactinomycin,0.76669"	"O-2050,0.76398"	"crizotinib,0.76022"	"BRD-K84924563,0.74889"	"SDM25N,0.74507"	"BRD-K35716340,0.74067"	"BVT-948,0.72752"
SLC7A9	"CGP-71683,0.93389"	"selamectin,0.93374"	"DG-041,0.93359"	"CCCP,0.93329"	"COL-3,0.91622"	"NVP-AUY922,0.91489"	"ABT-737,0.91245"	"niguldipine,0.90823"	"brefeldin-a,0.90468"	"penfluridol,0.90425"	"HSP90-inhibitor,0.90219"	"bortezomib,0.90139"	"RO-28-1675,0.90063"	"BRD-A18411371,0.90002"	"cyclopiazonic-acid,0.89873"	"BRD-K79390395,0.89476"	"manumycin-a,0.89248"	"PK-11195,0.89045"	"tyrphostin-AG-1478,0.88988"	"AG-957,0.88367"
TFAP4	"oxetane,0.99045"	"ouabain,0.97985"	"avicin-g,0.97011"	"digoxin,0.96504"	"AR-A014418,0.95901"	"tretinoin,0.95615"	"ouabain,0.95063"	"cymarin,0.94592"	"bufalin,0.94583"	"arachidonamide,0.94432"	"avicin-d,0.94192"	"FCCP,0.94044"	"digoxin,0.93922"	"BRD-U86222656,0.9379"	"digitoxin,0.93671"	"staurosporine,0.93623"	"strophanthidin,0.93564"	"helveticoside,0.93277"	"fasudil,0.92698"	"OBAA,0.92304"
TLR8	"BRD-K82594686,0.83113"	"crizotinib,0.75608"	"BRD-K84924563,0.75598"	"BRD-K55722623,0.7528"	"rimcazole,0.74917"	"genipin,0.74853"	"BMS-299897,0.72098"	"hydrocortisone,0.71646"	"HLI-373,0.70575"	"amlodipine,0.69742"	"cinobufagin,0.69311"	"BRD-K23282736,0.68969"	"BRD-K85275009,0.68611"	"fluspirilene,0.67381"	"pentobarbital,0.67159"	"altrenogest,0.66417"	"HG-5-88-01,0.66386"	"methoxsalen,0.66052"	"XAV-939,0.65354"	"BRD-K67778494,0.65256"
YARS	"triacsin-c,0.91721"	"BRD-K18726304,0.87477"	"BRD-K03122949,0.85348"	"BRD-A09984573,0.80385"	"betamethasone,0.79761"	"orantinib,0.78647"	"oligomycin-a,0.78162"	"SKF-81297,0.77358"	"chlortalidone,0.77079"	"RG-108,0.76773"	"pindolol,0.76001"	"alclometasone,0.75675"	"rimcazole,0.75671"	"BW-B70C,0.75277"	"GW-843682X,0.7372"	"promazine,0.73624"	"sulforaphane,0.72698"	"quinidine,0.72233"	"ivachtin,0.71533"	"WYE-354,0.71001"
ZBTB20	"SN-38,0.86081"	"avicin-g,0.85165"	"AKT-inhibitor-IV,0.80985"	"avrainvillamide-analog-2,0.80745"	"gemcitabine,0.79703"	"KUC111774N,0.7953"	"brazilin,0.79449"	"MLN-2238,0.79274"	"avrainvillamide-analog-4,0.79113"	"COL-3,0.79107"	"BRD-A18725729,0.77802"	"MD-II-008-P,0.77521"	"BRD-K48803730,0.76148"	"manumycin-a,0.75384"	"teniposide,0.7497"	"bortezomib,0.73936"	"isoliquiritigenin,0.7346"	"danusertib,0.72447"	"GR-127935,0.71311"	"MW-A1-12,0.71196"
