UNG	"carbetocin,0.95979"	"glibenclamide,0.95756"	"NF-449,0.94434"	"PD-158780,0.94188"	"ARG-CSC-91,0.94019"	"alda-1,0.93482"	"7-nitroindazole,0.93206"	"RS-I-002-6,0.91642"	"ivachtin,0.91352"	"BRD-K56196992,0.90973"	"oligomycin-a,0.9073"	"curcumin,0.9073"	"JTE-907,0.90582"	"CI-976,0.90531"	"IRL-2500,0.9025"	"PD-98059,0.90077"	"CHEMBL-1222381,0.89955"	"BRD-A09984573,0.89755"	"BRD-K76236182,0.89405"	"ASN-05257430,0.89339"
E2F1	"LFM-A13,0.97765"	"ellipticine,0.951"	"brefeldin-a,0.93873"	"ARG-CSC-91,0.93106"	"glibenclamide,0.93016"	"VX-702,0.92682"	"7-nitroindazole,0.92631"	"alvespimycin,0.92212"	"tyrphostin-AG-126,0.91692"	"BAS-00535043,0.91615"	"QS-11,0.91291"	"gossypol,0.90907"	"ST-4029573,0.90828"	"clonidine,0.90607"	"BRD-K16956545,0.9041"	"CI-976,0.90408"	"KUC111774N,0.90119"	"sorafenib,0.9002"	"mitotane,0.89858"	"BRD-K72615639,0.89695"
E2F4	"BRD-K21064560,0.9382"	"amonafide,0.90514"	"homoharringtonine,0.89841"	"VU-0410183-2,0.8978"	"cytarabine,0.89767"	"IKK-inhibitor-X,0.88928"	"dacinostat,0.88252"	"bortezomib,0.88087"	"15-delta-prostaglandin-j2,0.88018"	"MLN-2238,0.85584"	"MK-5108,0.84419"	"HLI-373,0.83943"	"BRD-K42197878,0.83746"	"BRD-K55896799,0.83726"	"avrainvillamide-analog-1,0.83537"	"tubastatin-a,0.8318"	"tert-butylhydroquinone,0.82958"	"BRD-K55116708,0.82829"	"BRD-K89329876,0.82548"	"gemcitabine,0.82402"
E2F5	"oxetane,0.95299"	"MK-1775,0.94975"	"cercosporin,0.94706"	"everolimus,0.94079"	"VU-0410183-2,0.93701"	"CT-200783,0.93134"	"staurosporine,0.92529"	"phorbol-12-myristate-13-acetate,0.91626"	"lylamine,0.91253"	"amsacrine,0.91165"	"wortmannin,0.91081"	"AZD-7762,0.91061"	"THM-I-94,0.90967"	"MD-II-008-P,0.90745"	"7b-cis,0.90349"	"ISOX,0.90043"	"idarubicin,0.89702"	"nutlin-3,0.89508"	"cucurbitacin-i,0.89502"	"BRD-K55116708,0.8944"
E2F6	"AC-55649,0.97404"	"orteronel,0.95348"	"lenalidomide,0.94194"	"fluoropyruvate,0.93952"	"FK-866,0.92777"	"AICA-ribonucleotide,0.92576"	"BRD-K19922318,0.92574"	"diclofenac,0.91876"	"zileuton,0.91577"	"glibenclamide,0.91475"	"valproic-acid,0.90859"	"chlortalidone,0.90223"	"lavendustin-a,0.88636"	"alda-1,0.88631"	"eugenol,0.88412"	"PT-630,0.87886"	"BRD-K42644990,0.87843"	"BRD-K28112517,0.87372"	"PD-0325901,0.87279"	"BMS-641988,0.86706"
EAPP	"BRD-K05153001,0.99203"	"BRD-K81795824,0.97484"	"BRD-K78385490,0.97226"	"VU-0418946-1,0.96769"	"tosedostat,0.96674"	"cytochalasin-d,0.9647"	"salermide,0.96312"	"VU-0418947-2,0.96171"	"VU-0418933-1,0.9592"	"VU-0410183-2,0.95864"	"BRD-K37940862,0.95828"	"VU-0418934-2,0.9578"	"CD-437,0.95409"	"BRD-A81530502,0.95359"	"cucurbitacin-i,0.95354"	"BRD-K73008154,0.95343"	"VU-0418939-2,0.94954"	"tegaserod,0.94887"	"BRD-A47816767,0.94587"	"BRD-K52321331,0.94541"
EBF1	"BRD-K40758391,0.90922"	"VU-0418934-2,0.90549"	"BRD-K23149109,0.90517"	"BRD-A61825514,0.90495"	"lasalocid,0.90462"	"SU-11274,0.89653"	"HC-toxin,0.89492"	"amcinonide,0.89452"	"taxifolin,0.89316"	"AS-605240,0.88834"	"fluoropyruvate,0.88799"	"BRD-K32485462,0.88519"	"SJ-172550,0.881"	"GSK-461364,0.87556"	"CP-724714,0.87344"	"ispinesib,0.87245"	"BRD-K45355657,0.87137"	"JWE-035,0.86731"	"dacinostat,0.86376"	"KM-00927,0.8625"
EBNA1BP2	"ST-4028268,0.98979"	"BRD-A70591769,0.96521"	"HG-5-88-01,0.96224"	"BRD-K72451865,0.95365"	"CP-724714,0.93972"	"proscillaridin,0.93381"	"QS-11,0.93103"	"BRD-A24021119,0.92317"	"BRD-K49094915,0.91822"	"ouabain,0.9147"	"BRD-K18163752,0.91058"	"BRD-K70161581,0.91023"	"purmorphamine,0.90857"	"LFM-A13,0.90606"	"BRD-K19166598,0.90449"	"gemcitabine,0.90388"	"digoxin,0.89976"	"BRD-K80786583,0.8996"	"BRD-K88198340,0.89897"	"rilmenidine,0.8913"
EBP	"wortmannin,0.98569"	"PP-110,0.97284"	"PI-828,0.96174"	"wortmannin,0.9597"	"BMS-754807,0.95843"	"mevastatin,0.95342"	"PIK-90,0.95268"	"aminopurvalanol-a,0.95064"	"TG-101348,0.94695"	"selumetinib,0.94472"	"BMS-536924,0.94451"	"PI-103,0.94286"	"tubastatin-a,0.94283"	"WZ-3146,0.94006"	"DL-PDMP,0.9381"	"cytochalasin-b,0.9371"	"fostamatinib,0.93562"	"AS-605240,0.93531"	"NVP-BEZ235,0.93193"	"PP-1,0.92912"
ECD	"JTE-907,0.96028"	"PD-158780,0.9564"	"MW-STK33-2B,0.9515"	"atorvastatin,0.9464"	"BRD-K58900438,0.9363"	"NVP-AUY922,0.93323"	"CHEMBL-1222381,0.93188"	"selumetinib,0.93173"	"U-0126,0.92929"	"mitomycin-c,0.92906"	"afatinib,0.9276"	"wiskostatin,0.92388"	"amcinonide,0.92352"	"daunorubicin,0.92101"	"AS-605240,0.91775"	"PU-H71,0.91555"	"BRD-K39187410,0.91367"	"BRD-K58247702,0.91222"	"AZ-628,0.91137"	"mycophenolic-acid,0.90897"
ECH1	"BMS-641988,0.9846"	"alda-1,0.98298"	"verapamil,0.97722"	"FK-866,0.97207"	"AR-C133057XX,0.95946"	"lenalidomide,0.95826"	"NF-449,0.95788"	"RHO-kinase-inhibitor-III[rockout],0.95566"	"SJ-172550,0.93823"	"carbinoxamine,0.93761"	"zileuton,0.93719"	"AICA-ribonucleotide,0.93219"	"orantinib,0.93092"	"PT-630,0.93031"	"STAT3-inhibitor-VI,0.92048"	"pregnenolone,0.91628"	"oligomycin-a,0.91599"	"rilmenidine,0.90898"	"diclofenac,0.90705"	"evodiamine,0.90518"
ECHS1	"BRD-K67470788,0.9556"	"mocetinostat,0.94848"	"indirubin,0.94778"	"diethylstilbestrol,0.94381"	"cephaeline,0.94214"	"tiabendazole,0.93086"	"gossypol,0.91659"	"BIX-01294,0.90749"	"BRD-K18163752,0.90246"	"H-9,0.8995"	"daunorubicin,0.8914"	"BRD-K58288048,0.8911"	"progesterone,0.89069"	"alvocidib,0.88738"	"digoxin,0.88702"	"LE-135,0.88242"	"BRD-K00313977,0.88164"	"CGP-60474,0.88162"	"BRD-K61053657,0.88089"	"cediranib,0.87891"
ECI1	"BRD-K36772364,0.96113"	"parthenolide,0.93302"	"tyrphostin-AG-126,0.92754"	"BRD-A51929314,0.92663"	"QL-XII-47,0.9253"	"XMD-1185H,0.92473"	"elesclomol,0.92151"	"prostaglandin-a1,0.92113"	"verrucarin-a,0.92031"	"BRD-K59036917,0.9198"	"BRD-K41925105,0.91788"	"gossypol,0.91494"	"lonidamine,0.9136"	"BRD-K87726525,0.9074"	"BRD-K05153001,0.90237"	"pifithrin-mu,0.89772"	"BRD-K85051645,0.8921"	"tretinoin,0.89137"	"BRD-K78385490,0.88723"	"MD-II-008-P,0.88683"
ECSIT	"oxetane,0.9858"	"wortmannin,0.97236"	"7b-cis,0.97045"	"phorbol-12-myristate-13-acetate,0.96401"	"camptothecin,0.95961"	"BRD-K26304855,0.95668"	"MK-2206,0.95318"	"KUC111774N,0.95087"	"JNJ-7706621,0.9483"	"topotecan,0.94633"	"BRD-K58288048,0.94485"	"BRD-K83670234,0.9446"	"COL-3,0.94378"	"BRD-A43155244,0.9436"	"staurosporine,0.94111"	"SU-11652,0.93943"	"mibefradil,0.93662"	"berbamine,0.93619"	"mocetinostat,0.93564"	"WZ-4-145,0.93409"
EDEM1	"staurosporine,0.97669"	"oxetane,0.96027"	"fludarabine,0.9486"	"dactinomycin,0.93466"	"curcumin,0.93163"	"BG-FA-0953,0.92808"	"CGP-60474,0.92578"	"clopidogrel,0.92498"	"avicin-g,0.92345"	"sulpiride,0.92277"	"dactinomycin,0.9202"	"idarubicin,0.91885"	"doxorubicin,0.91792"	"BRD-K26048285,0.9173"	"alvocidib,0.91699"	"gelsemine,0.91602"	"JNJ-7706621,0.91203"	"ST-4029573,0.91191"	"staurosporine,0.91141"	"doxorubicin,0.9108"
EDN1	"selamectin,0.97351"	"oxetane,0.96008"	"BRD-A43155244,0.96003"	"everolimus,0.95848"	"MD-II-008-P,0.95823"	"NSC-3852,0.94383"	"HG-5-113-01,0.93925"	"XL-147,0.93433"	"FCCP,0.93428"	"BRD-A37735495,0.93302"	"IKK-16,0.93274"	"PD-198306,0.93235"	"amsacrine,0.92773"	"GW-441756,0.92677"	"KUC111774N,0.92663"	"avicin-g,0.92522"	"BRD-K78385490,0.92458"	"KU-0063794,0.92262"	"tyrphostin-A9,0.92257"	"RS-17053,0.91994"
EDNRB	"BRD-K04779531,0.9575"	"cytochalasin-b,0.95695"	"PD-198306,0.94284"	"lonidamine,0.9422"	"alvespimycin,0.93744"	"ivachtin,0.92523"	"BRD-K28366633,0.92227"	"IKK-inhibitor-X,0.91996"	"rottlerin,0.91328"	"BRD-K51320264,0.91273"	"BRD-K48950795,0.91127"	"cyclosporin-a,0.90314"	"BRD-K66909449,0.90192"	"GSK-0660,0.90132"	"KU-C104493,0.89972"	"EMF-sumo1-3,0.89884"	"BRD-K71935468,0.89707"	"sorafenib,0.89606"	"BRD-K31380618,0.89412"	"ZM-336372,0.89148"
EED	"verapamil,0.96955"	"NF-449,0.92546"	"PRL-3-inhibitor-I,0.91993"	"cyanoquinoline-11,0.91598"	"thiotepa,0.91053"	"orteronel,0.91015"	"fluoropyruvate,0.90999"	"PP-1,0.90825"	"rilmenidine,0.89075"	"zileuton,0.85911"	"alda-1,0.85873"	"fludroxycortide,0.85605"	"RHO-kinase-inhibitor-III[rockout],0.85313"	"SB-525334,0.84585"	"zebularine,0.84475"	"pindolol,0.84408"	"dexamethasone,0.8387"	"HO-013,0.83055"	"orantinib,0.82875"	"PT-630,0.81779"
EEF1D	"CHEMBL-1222381,0.95937"	"BL003-049-HDAC3,0.90571"	"tyrphostin-1,0.90489"	"PP-30,0.90394"	"BMS-754807,0.90172"	"niguldipine,0.89412"	"PD-0325901,0.89311"	"mocetinostat,0.885"	"tozasertib,0.88361"	"BRD-A06276885,0.88188"	"saracatinib,0.87642"	"oxetane,0.87088"	"BRD-K19826688,0.8624"	"fostamatinib,0.86193"	"BRD-K59019422,0.86145"	"BRD-K55116708,0.85256"	"tozasertib,0.85061"	"AZD-7545,0.84603"	"clebopride,0.84359"	"LFM-A13,0.83996"
EFCAB2	"amsacrine,0.94894"	"GSK-0660,0.93052"	"NSC-632839,0.9174"	"puromycin,0.89956"	"triciribine,0.89631"	"BRD-A18725729,0.89508"	"SSR-69071,0.89458"	"prostratin,0.89357"	"BRD-K92317137,0.8921"	"trap-101,0.88847"	"oxetane,0.88419"	"BRD-K21064560,0.88381"	"cymarin,0.88104"	"BRD-U86222656,0.88043"	"brazilin,0.87828"	"lylamine,0.87612"	"obatoclax,0.86242"	"BRD-K56411643,0.86234"	"JLK-6,0.8616"	"EMF-bca1-16,0.8585"
EFNB2	"tretinoin,0.98193"	"ryuvidine,0.9651"	"rilmenidine,0.93956"	"indirubin,0.93299"	"K784-3188,0.92791"	"curcumin,0.92278"	"BRD-K41925105,0.92189"	"dasatinib,0.91797"	"alda-1,0.91726"	"MD-040,0.91676"	"BRD-K32896438,0.9079"	"YM-155,0.90749"	"YM-155,0.90741"	"BRD-K58347372,0.90374"	"FPL-64176,0.90285"	"ABT-751,0.90028"	"BRD-K71935468,0.90002"	"erastin,0.89709"	"BRD-U86222656,0.89581"	"BRD-K61053657,0.89381"
EFNB3	"YM-155,0.96789"	"SU-11652,0.95721"	"auranofin,0.95003"	"menadione,0.94106"	"BRD-K06765193,0.94047"	"ryuvidine,0.93863"	"oxetane,0.93559"	"curcumin,0.9313"	"pirarubicin,0.92945"	"cercosporin,0.92468"	"BRD-K15640888,0.9226"	"staurosporine,0.91895"	"BRD-K68548958,0.9162"	"SN-38,0.91441"	"amsacrine,0.90712"	"BRD-K05649647,0.90705"	"bortezomib,0.9065"	"CD-1530,0.9009"	"BCI-hydrochloride,0.90051"	"BG-FA-0953,0.89896"
EGF	"BRD-A41114263,0.98331"	"ALW-II-49-7,0.97963"	"diclofenac,0.97697"	"BAS-09104376,0.97127"	"HG-5-88-01,0.9671"	"ST-4049616,0.96254"	"BRD-K15107389,0.95546"	"raltitrexed,0.95528"	"AS-605240,0.9516"	"BRD-K42455570,0.94692"	"BRD-K19166598,0.94549"	"BRD-A09984573,0.94234"	"BRD-K86456986,0.94046"	"BRD-K09460252,0.93998"	"SA-425500,0.93711"	"BRD-K72451865,0.93563"	"desloratadine,0.93328"	"sitagliptin,0.9323"	"BRD-K80786583,0.93182"	"diethylstilbestrol,0.92718"
IGF1	"5-iodotubercidin,0.97539"	"oxetane,0.96231"	"PIK-75,0.94604"	"BRD-K07061353,0.94357"	"withaferin-a,0.94263"	"JNJ-7706621,0.94204"	"auranofin,0.94126"	"F-1566-0341,0.93745"	"afatinib,0.92816"	"CHEMBL-1222381,0.92755"	"camptothecin,0.92203"	"MD-II-008-P,0.92082"	"staurosporine,0.92018"	"pirarubicin,0.91907"	"selamectin,0.91702"	"cefixime,0.91699"	"tretinoin,0.91538"	"MD-049,0.91486"	"VU-0418934-2,0.91362"	"staurosporine,0.91103"
EGLN1	"TW-37,0.9909"	"PAC-1,0.98866"	"MK-212,0.98207"	"phorbol-12-myristate-13-acetate,0.97748"	"SB-431542,0.9741"	"BRD-K14027855,0.97303"	"KU-C104248,0.97154"	"BRD-K52321331,0.97029"	"BRD-K21064560,0.97001"	"BRD-K80786583,0.96762"	"BRD-K79532217,0.96666"	"JAS07-006,0.96424"	"BRD-K49094915,0.9635"	"VU-0418947-2,0.96138"	"VU-0410183-2,0.95942"	"SU-11274,0.95851"	"palbociclib,0.95678"	"BRD-K90999434,0.95506"	"trapidil,0.95496"	"BRD-K08307026,0.95441"
EGLN2	"BRD-K70161581,0.94803"	"VX-702,0.93652"	"berbamine,0.93576"	"LFM-A13,0.92634"	"BRD-K61001510,0.92533"	"BRD-K62459624,0.91481"	"parthenolide,0.91477"	"BRD-U86222656,0.91008"	"ST-056792,0.90706"	"androstanol,0.90399"	"BRD-K82837433,0.90239"	"mirin,0.89926"	"phenethyl-isothiocyanate,0.89688"	"rilmenidine,0.89557"	"MD-II-008-P,0.89344"	"indolophenanthridine,0.88774"	"VU-0418934-2,0.88468"	"VU-0410183-2,0.88212"	"prostaglandin-a1,0.88192"	"BRD-K19166598,0.88124"
EGR1	"cytochalasin-d,0.96187"	"metergoline,0.93605"	"BRD-A41114263,0.93553"	"BRD-K63423329,0.93515"	"CHEMBL-1222381,0.93247"	"taxifolin,0.91644"	"BRD-K87125912,0.91644"	"BRD-K80786583,0.91601"	"LFM-A13,0.90862"	"vanoxerine,0.90762"	"BRD-K18163752,0.90455"	"ALW-II-49-7,0.90433"	"BRD-K28366633,0.90364"	"ispinesib,0.90109"	"BRD-K23165181,0.89403"	"berbamine,0.89119"	"BRD-A09984573,0.88973"	"NCH-51,0.88799"	"SB-216641,0.88309"	"BRD-K61001510,0.88263"
EGR2	"BRD-K04779531,0.96809"	"BRD-K24346336,0.95077"	"BRD-K23149109,0.95051"	"BRD-K16472144,0.94863"	"LFM-A13,0.93368"	"GSK-461364,0.93096"	"quizartinib,0.93052"	"AR-A014418,0.92929"	"teicoplanin,0.92782"	"reversine,0.92072"	"flutamide,0.92053"	"BMS-641988,0.91827"	"sorafenib,0.91619"	"BRD-K05153001,0.91514"	"ALW-II-38-3,0.91435"	"XL-147,0.91408"	"MBCQ,0.9138"	"erastin,0.90545"	"BRD-K62818989,0.90481"	"androstanol,0.9046"
EGR3	"BRD-K42499654,0.94862"	"D-64406,0.92388"	"BRD-K90999434,0.92066"	"wortmannin,0.91704"	"blebbistatin,0.90984"	"U-0126,0.90877"	"atorvastatin,0.9073"	"BRD-K48950795,0.90699"	"hydroxyl,0.90193"	"cytochalasin-b,0.90064"	"saracatinib,0.89571"	"BRD-A06276885,0.89546"	"toremifene,0.89507"	"thiothixene,0.89377"	"BRD-K99502566,0.89236"	"BRD-K08878345,0.89178"	"GDC-0879,0.89051"	"prostaglandin-a1,0.88976"	"KB-R7943,0.88845"	"graveoline,0.88546"
EHF	"genipin,0.96354"	"KUC111774N,0.95538"	"GSK-461364,0.9535"	"WR-216174,0.93014"	"oxetane,0.92956"	"SU-11652,0.92206"	"BRD-K00859168,0.92185"	"sibutramine,0.91438"	"LFM-A13,0.91192"	"mevastatin,0.90976"	"KU-C104488,0.90763"	"RG-108,0.90661"	"BRD-K30381304,0.90284"	"BMS-536924,0.90149"	"BRD-K45205755,0.90023"	"BRD-K21773564,0.89976"	"BRD-K33586157,0.89791"	"D-64406,0.89482"	"JWE-035,0.89091"	"medroxyprogesterone,0.88923"
EHHADH	"FCCP,0.9571"	"strophanthidin,0.95463"	"CP466722,0.95159"	"brefeldin-a,0.94842"	"RO-28-1675,0.94766"	"brefeldin-a,0.94292"	"BRD-K05649647,0.94138"	"mitomycin-c,0.93067"	"oxetane,0.9289"	"VU-0418939-2,0.92856"	"AMG-9810,0.92658"	"cladribine,0.92272"	"BRD-K40329609,0.91722"	"lasalocid,0.91566"	"tigecycline,0.91514"	"tunicamycin,0.9134"	"LY-364947,0.91147"	"VU-0418934-2,0.91034"	"ouabain,0.90786"	"sorafenib,0.9074"
EHMT2	"AICA-ribonucleotide,0.97429"	"prostaglandin-a1,0.94391"	"temozolomide,0.92987"	"BRD-K99502566,0.92511"	"carbamazepine,0.91939"	"MEK1-2-inhibitor,0.91924"	"glibenclamide,0.90339"	"BRD-K61053657,0.89372"	"orteronel,0.88789"	"pemetrexed,0.8866"	"zileuton,0.8851"	"flutamide,0.88067"	"erastin,0.87959"	"eugenol,0.87675"	"M2-PK-activator,0.87426"	"AS-703026,0.86928"	"alda-1,0.86509"	"IKK-inhibitor-X,0.8591"	"BRD-K42644990,0.85592"	"orantinib,0.8532"
EIF1B	"AS-605240,0.92517"	"clemastine,0.9167"	"HSP90-inhibitor,0.9073"	"TPCA-1,0.89509"	"NSC-632839,0.87795"	"ST-4029573,0.85458"	"MLN-4924,0.84468"	"daunorubicin,0.84131"	"parthenolide,0.83528"	"pifithrin-mu,0.83288"	"cyclopamine,0.83069"	"everolimus,0.82974"	"PD-184352,0.82931"	"cymarin,0.82893"	"CHEMBL-1222381,0.82811"	"GW-441756,0.82383"	"PD-173074,0.81696"	"NSC-632839,0.81513"	"BIIB021,0.81365"	"RS-I-002-6,0.81139"
EIF2AK1	"AC-55649,0.9611"	"lenalidomide,0.94416"	"BRD-K40758391,0.94314"	"fluoropyruvate,0.93881"	"rilmenidine,0.9321"	"navitoclax,0.93192"	"RHO-kinase-inhibitor-III[rockout],0.91203"	"BRD-K11671649,0.90727"	"gemfibrozil,0.9066"	"cytosporone-b,0.89875"	"BRD-K30064966,0.89145"	"BRD-K83194053,0.88872"	"verapamil,0.88824"	"ZM-323881,0.88821"	"dexamethasone,0.88626"	"CP-724714,0.88615"	"BRD-K98173387,0.87954"	"BRD-K64099269,0.87453"	"BRD-K01121114,0.86419"	"fostamatinib,0.86024"
EIF2AK2	"BRD-K85275009,0.9683"	"SA-792728,0.92963"	"gemcitabine,0.89765"	"KUC111774N,0.89525"	"brefeldin-a,0.89082"	"BRD-K55612480,0.87758"	"rottlerin,0.87689"	"lasalocid,0.87299"	"BRD-K85266146,0.86765"	"lovastatin,0.86705"	"L-690488,0.86511"	"cyclosporin-a,0.8625"	"hydrocortisone,0.85464"	"aminopurvalanol-a,0.85272"	"medroxyprogesterone,0.84877"	"rhodomyrtoxin-b,0.84632"	"RO-3306,0.83944"	"BRD-K19166598,0.83836"	"BRD-K05649647,0.83663"	"DG-041,0.83581"
EIF2AK3	"oxetane,0.97521"	"COL-3,0.96281"	"BRD-K55896799,0.96251"	"strophanthidin,0.95562"	"amsacrine,0.95001"	"KM-00927,0.94689"	"KUC111774N,0.94689"	"proscillaridin,0.94638"	"digoxigenin,0.9456"	"BRD-K78385490,0.94438"	"SCH-79797,0.9426"	"NSC-3852,0.93895"	"hydroxyl,0.93793"	"afatinib,0.93514"	"BRD-A47816767,0.93513"	"cymarin,0.93249"	"BRD-K62459624,0.93154"	"doxorubicin,0.93138"	"JNJ-7706621,0.92966"	"pitavastatin,0.92675"
EIF2B2	"cucurbitacin-i,0.99109"	"BRD-K65955264,0.98862"	"selamectin,0.98606"	"CGK-733,0.98305"	"artesunate,0.98292"	"niclosamide,0.9823"	"IKK-2-inhibitor-V,0.98026"	"CCCP,0.97689"	"tigecycline,0.97677"	"malonoben,0.97672"	"FCCP,0.96836"	"cucurbitacin-i,0.96714"	"RJC-00245SC,0.96543"	"tyrphostin-A9,0.96514"	"COL-3,0.96448"	"bithionol,0.9638"	"KO-143,0.96261"	"VU-0418947-2,0.96229"	"nutlin-3,0.96179"	"tosedostat,0.96143"
EIF2B3	"BRD-K23319301,0.99673"	"BRD-K73261812,0.99542"	"BRD-K86574132,0.9902"	"BRD-K44732214,0.98845"	"KO-143,0.98839"	"BRD-K28934562,0.98823"	"tosedostat,0.98787"	"rhodomyrtoxin-b,0.98507"	"BRD-K20109053,0.98422"	"BRD-K37940862,0.98383"	"CGK-733,0.98328"	"bithionol,0.98141"	"COL-3,0.97992"	"BRD-K44242139,0.97432"	"artesunate,0.97304"	"BRD-K84421793,0.97187"	"BRD-K04534322,0.97159"	"gossypol,0.9705"	"BRD-K78385490,0.96787"	"niclosamide,0.96757"
EIF2B5	"BRD-K23319301,0.98944"	"BRD-K28934562,0.98934"	"gossypol,0.9863"	"BRD-K44732214,0.98616"	"artesunate,0.9854"	"sorafenib,0.98391"	"BRD-K73261812,0.98343"	"AG-879,0.97966"	"BRD-K84421793,0.97942"	"tacrolimus,0.97711"	"triclosan,0.97621"	"BRD-K20109053,0.97606"	"BRD-K44242139,0.9744"	"quiflapon,0.97268"	"CGK-733,0.96808"	"BRD-K86574132,0.96737"	"tigecycline,0.96254"	"PD-198306,0.95734"	"valdecoxib,0.95729"	"mifepristone,0.95707"
EIF2C1	"HC-toxin,0.96679"	"BRD-K82685933,0.94086"	"verrucarin-a,0.93878"	"staurosporine,0.91987"	"wortmannin,0.91762"	"XMD-885,0.91536"	"inhibitor-BEC,0.91372"	"belinostat,0.91041"	"PI-828,0.90954"	"homoharringtonine,0.9066"	"wortmannin,0.90655"	"MD-049,0.90391"	"proscillaridin,0.90208"	"BRD-K07877311,0.89813"	"BRD-K01614657,0.89648"	"homoharringtonine,0.89592"	"VAMA-37,0.89239"	"WY-01-045,0.89047"	"WZ-3146,0.89023"	"SA-1447005,0.89011"
EIF2C2	"heliomycin,0.92463"	"T-0901317,0.91869"	"BRD-K33926001,0.91602"	"ST-4029573,0.91089"	"bortezomib,0.91046"	"cefixime,0.91024"	"remacemide,0.90564"	"genistein,0.90454"	"BRD-A19928752,0.90012"	"BRD-K18726304,0.90007"	"homoharringtonine,0.8949"	"BMS-536924,0.89431"	"aminopurvalanol-a,0.89081"	"sulpiride,0.88715"	"tubastatin-a,0.88586"	"AZD-7762,0.88398"	"BRD-K70161581,0.88082"	"puromycin,0.87863"	"BIX-01294,0.87369"	"BRD-A98444709,0.87086"
EIF2C3	"BMS-641988,0.93312"	"STK-249718,0.93254"	"BRD-K61001510,0.89233"	"taxifolin,0.89131"	"ropinirole,0.88862"	"MD-II-008-P,0.88816"	"BRD-K28112517,0.88646"	"glibenclamide,0.88392"	"STO-609,0.88277"	"emetine,0.88039"	"MD-049,0.87259"	"DMAB-anabaseine,0.87173"	"telmisartan,0.87047"	"LFM-A13,0.86856"	"PD-0325901,0.86774"	"menadione,0.86666"	"SU-11274,0.86543"	"ALW-II-49-7,0.86339"	"16,16-dimethylprostaglandin-e2,0.86329"	"zileuton,0.85962"
EIF2S2	"BRD-K28934562,0.99566"	"BRD-K23319301,0.99537"	"BRD-K73261812,0.99463"	"CGK-733,0.9942"	"BRD-K65955264,0.99192"	"CCCP,0.99176"	"artesunate,0.9913"	"quiflapon,0.99056"	"ivermectin,0.99053"	"tigecycline,0.9897"	"oligomycin-a,0.98891"	"BRD-K44242139,0.98865"	"KO-143,0.98813"	"BRD-K20109053,0.98719"	"BRD-K84421793,0.98627"	"BRD-K44732214,0.98579"	"PD-198306,0.98449"	"BRD-K37940862,0.984"	"BRD-K31706415,0.98378"	"tosedostat,0.98368"
EIF3H	"amsacrine,0.98906"	"oxetane,0.98406"	"camptothecin,0.98349"	"CD-437,0.97402"	"SN-38,0.97194"	"irinotecan,0.96742"	"teniposide,0.96156"	"methylene-blue,0.96069"	"BRD-K53932786,0.96036"	"homoharringtonine,0.9584"	"NSC-23766,0.95718"	"idarubicin,0.95305"	"emetine,0.95301"	"amonafide,0.94848"	"NSC-3852,0.94601"	"pyrvinium-pamoate,0.94145"	"BRD-K98824517,0.93979"	"cephaeline,0.93693"	"verrucarin-a,0.93676"	"cycloheximide,0.93583"
EIF3J	"BRD-K79947405,0.99619"	"veliparib,0.97153"	"phorbol-12-myristate-13-acetate,0.96668"	"CHEMBL-1222381,0.96411"	"wortmannin,0.96299"	"BRD-K80094086,0.94884"	"BRD-K99502566,0.94711"	"MK-2206,0.94586"	"ZM-336372,0.94126"	"BRD-K49010888,0.93967"	"nelfinavir,0.93592"	"BMS-641988,0.93582"	"BRD-K41429297,0.9302"	"zardaverine,0.92901"	"LFM-A13,0.9275"	"SA-247714,0.92419"	"BRD-K94991378,0.92388"	"obatoclax,0.92067"	"afatinib,0.91802"	"auranofin,0.91717"
EIF4A2	"A-443644,0.96396"	"5-iodotubercidin,0.95668"	"dactinomycin,0.9512"	"doxorubicin,0.92523"	"bisindolylmaleimide-ix,0.92343"	"alvocidib,0.92119"	"staurosporine,0.91999"	"BRD-K61001510,0.91697"	"BRD-K81814927,0.90918"	"WZ-3105,0.89966"	"quiflapon,0.89944"	"nilotinib,0.8886"	"AT-7519,0.88679"	"pirarubicin,0.8862"	"PIK-75,0.88573"	"BRD-K24346336,0.88474"	"AZ-628,0.88442"	"pidorubicine,0.88338"	"BRD-K48950795,0.88167"	"dactinomycin,0.87981"
EIF4B	"VU-0410183-2,0.965"	"VU-0418946-1,0.9629"	"BRD-K05153001,0.95024"	"BRD-K37940862,0.95011"	"BRD-K61717269,0.94953"	"BRD-K08307026,0.94651"	"cucurbitacin-i,0.94357"	"VU-0418933-1,0.93969"	"PI-103,0.9394"	"BRD-K01614657,0.93803"	"hinokitiol,0.93717"	"BRD-K58288048,0.9314"	"narciclasine,0.92768"	"BRD-K58479490,0.92373"	"KB-R7943,0.92283"	"MD-II-008-P,0.92006"	"cerulenin,0.91976"	"niclosamide,0.91922"	"BRD-K80786583,0.9174"	"cytochalasin-b,0.91648"
